gene_symbol,uniprot_id,organism,pathway_tags,gravity_link,spine_curvature_link,priority_score,justification
PLOD1,Q02809,Homo sapiens,"ECM,Enzyme",Hydroxylates lysines for collagen crosslinking; determines mechanical stability.,Kyphoscoliosis type Ehlers-Danlos Syndrome (EDS VIA) is caused by PLOD1 deficiency. (DOI: 10.1056/NEJM197206222862503),92,Defining gene for Kyphoscoliotic EDS; major structural determinant.
PIEZO2,Q9H5I5,Homo sapiens,"Mechanotransduction,Proprioception","Essential for proprioception, which provides the gravity reference frame for posture control.",Loss of function mutations cause congenital scoliosis; asymmetric expression in paraspinal muscles in AIS. (DOI: 10.1056/NEJMoa1602812),95,Direct link between gravity sensing (proprioception) and spinal alignment.
NF1,P21359,Homo sapiens,"Signaling,Mechanotransduction,Development",Neurofibromin regulates Ras/MAPK; loss alters cytoskeletal contractility and mechanosensitivity.,Dystrophic scoliosis is a hallmark of Neurofibromatosis Type 1. (DOI: 10.5435/JAAOS-D-19-00105),92,Direct causative link to dystrophic scoliosis and mechanotransduction.
LMNA,P02545,Homo sapiens,"Mechanotransduction,Nucleus,Cytoskeleton","Nuclear lamina scales with tissue stiffness; central mechanotransducer (Swift et al., 2013).",Mutations cause LMNA-CMD and EDMD2/3 with severe scoliosis. (PMC4105307),92,Direct link between nuclear mechanotransduction and spinal stability.
OTOP1,Q7RTM1,Homo sapiens,"Gravity_Sensing,Ion_Channel",Forms proton channels in otoconia; essential for otolith formation (gravity sensors).,Vestibular dysfunction is strongly linked to Idiopathic Scoliosis onset. (DOI: 10.1007/s40141-013-0026-6),92,Essential for the hardware of vestibular gravity sensing.
ARNTL,O00327,Homo sapiens,Thermodynamic_Cost,BMAL1; circadian clock TF in intervertebral disc regulating metabolism.,Circadian rhythm disruption linked to disc degeneration and scoliosis.,100,Essential for Gamma_m supply side.
GHR,P10912,Homo sapiens,Thermodynamic_Cost,Growth hormone receptor; master regulator of adolescent growth spurt rate.,Regulates the rate of spinal elongation; rapid growth is a risk factor for AIS.,100,Essential for Gamma_m supply side.
NTRK3,Q16288,Homo sapiens,"Proprioception,Signaling",Essential for development of proprioceptive neurons (gravity sensing).,"Loss of function mutations cause congenital scoliosis due to lack of proprioceptive input. (Blecher et al., 2017)",95,Primary driver of proprioceptive-dependent spinal alignment.
DMD,P11532,Homo sapiens,"Muscle,Mechanotransduction,Cytoskeleton,Thermodynamic_Cost","Connects cytoskeleton to ECM (costamere), protecting muscle from contraction-induced mechanical damage and gravity load.","Duchenne Muscular Dystrophy patients have very high prevalence of severe, progressive scoliosis. (SciELO)",100,Essential for maintenance of muscle tone against gravity; loss leads to collapse.
EGR3,Q06889,Homo sapiens,"Muscle,Proprioception,Transcription_Factor",Required for muscle spindle morphogenesis (gravity/stretch sensors).,"Knockout mice lack muscle spindles and develop scoliosis. (Blecher et al., 2017)",92,Essential for the hardware of muscle proprioception.
